Query	Statistic	P-value	FDR (BH)	Event_SD	Event_TD
ABCF1	0.0188830147572381	0.867959064896315	0.90869999967032	80	80
ABCF2	-0.0254172123381626	0.822915559870236	0.875940431864052	80	80
ABCF3	-0.230200296883706	0.0399519153218794	0.078118515623377	80	80
ABCG1	0.0113602510282824	0.920333845388807	0.945023607830726	80	80
ABCG2	0.703187018627421	3.53269797837573e-13	2.03823126132893e-11	80	80
ABCG4	0.315579949018663	0.00435188039543477	0.011815439846517	80	79
ABCG5	-0.0541655968397935	0.633221474242298	0.724520020017758	80	74
ABCG8	0.013047494802673	0.908549341185902	0.937252983346786	80	58
ABHD10	0.0665082097028133	0.557771524973823	0.659939099689251	80	80
ABHD11	-0.657175877283941	3.57356970940967e-11	1.10245189189817e-09	80	80
ABHD12B	-0.046143030084527	0.684421627662649	0.766745095105891	80	72
ABHD12	-0.217188170599156	0.0529677134088356	0.0989489500060569	80	80
ABHD13	0.413271362729219	0.000138944207955101	0.000613594437433692	80	80
ABHD14A	0.054812995322425	0.629159899741549	0.7212365771331	80	80
ABHD14B	-0.130856953435603	0.247279544187918	0.349057491683855	80	80
ABHD15	0.177605962243789	0.114999747754168	0.188297563279009	80	80
ABHD1	0.156994954962908	0.16430235113165	0.251297285406939	80	79
ABHD2	-0.0554329725338321	0.625280640992085	0.718136468418331	80	80
ABHD3	-0.22088611953779	0.0489571231029681	0.0924813956703645	80	80
ABHD4	-0.0538406141393193	0.635264417976501	0.726361320659557	80	80
ABHD5	0.283221154457891	0.0109061305206931	0.0259158069316287	80	80
ABHD6	0.326779748444011	0.00309155705480705	0.00881711350757816	80	80
ABHD8	-0.149902866253641	0.18444810467931	0.275727642878526	80	80
ABI1	-0.0453826823190042	0.689353469798919	0.770636975068419	80	80
ABI2	0.261584876149133	0.0190867455122598	0.0418517550980145	80	80
ABI3BP	0.824152799442507	5.99287662020073e-21	4.50825668517331e-18	80	80
ABI3	0.57451285731552	2.51226299915012e-08	3.48986875002679e-07	80	80
ABL1	0.553926826763321	9.82112278793564e-08	1.14272064609895e-06	80	80
ABL2	0.616954517712454	1.10101006066889e-09	2.1862594697079e-08	80	80
ABLIM1	0.093322061417598	0.410303337517665	0.520435990824125	80	80
ABLIM2	-0.0120365586131645	0.915607990234517	0.941555030546631	80	80
ABLIM3	-0.174496250328809	0.121602731052868	0.197150846871936	80	80
ABO	-0.201355957040597	0.0732884256545648	0.129759058330554	80	80
ABP1	-0.244788108639396	0.0286402636377294	0.0590030457647302	80	80
ABRA	0.488442440331475	4.29758480948067e-06	3.00308900638201e-05	80	62
ABR	-0.186420563687092	0.0977820542251133	0.16486197993705	80	80
ABT1	-0.0329342728420529	0.771804284874783	0.836745191944231	80	80
ABTB1	-0.307131798553625	0.0055858287314478	0.014619727573717	80	80
ABTB2	-0.18956910521142	0.0921467661574986	0.156831125195421	80	80
ACAA1	-0.255091139021258	0.022394121633668	0.0479167076942251	80	80
ACAA2	0.157977207804663	0.161645613487536	0.247873504837532	80	80
ACACA	-0.0402325224086233	0.723091123688022	0.797279400654717	80	80
ACACB	0.560584021531136	6.38366421244904e-08	7.91851333974168e-07	80	80
ACAD10	-0.0614764640012243	0.588010715372098	0.685802121762842	80	80
ACAD11	0.0446003221779422	0.694441635359277	0.774907801574172	80	80
ACAD8	-0.120917693073499	0.285328709591647	0.390917920349049	80	80
ACAD9	-0.310665999599081	0.0050362523987491	0.013383703894991	80	80
ACADL	0.366993685425635	0.000812557206113902	0.00278576799200382	80	77
ACADM	0.431675124369799	6.3883054049462e-05	0.000315447779387384	80	80
ACADSB	0.42440164565374	8.73136233873738e-05	0.000411510158996059	80	80
ACADS	-0.237394569026336	0.0339794621078072	0.0682523211566208	80	80
ACADVL	-0.275907391497473	0.013240320393708	0.0306553044411844	80	80
ACAN	0.25141319789859	0.0244755125450484	0.0516693523873288	80	80
ACAP1	0.530833467389843	4.07931337787979e-07	3.9440084210554e-06	80	80
ACAP2	0.386028357286125	0.000405415259924861	0.00154150798383949	80	80
ACAP3	-0.251918462959771	0.0241801828266041	0.0511452574787012	80	80
ACAT1	0.497925125104992	2.60767277165875e-06	1.95263675769533e-05	80	80
ACAT2	-0.146835104218874	0.193696726429231	0.287030401714473	80	80
ACBD3	0.0869662633696409	0.443044281877012	0.553140757642824	80	80
ACBD4	-0.268721633417731	0.0159436385328363	0.0359099062717347	80	80
ACBD5	-0.0720248771018407	0.52549589516135	0.630756318714995	80	80
ACBD6	-0.422921226597597	9.29661566801176e-05	0.000434797957557728	80	80
ACBD7	-0.342325654712462	0.00188264078037752	0.00576704322997712	80	80
ACCN1	0.279631711993744	0.0120025896598908	0.0281585116426288	80	75
ACCN2	0.0764553291458032	0.500271718246887	0.607865722630979	80	80
ACCN3	-0.375280138914211	0.000603458499348509	0.0021573834379012	80	80
ACCN4	-0.27346760468085	0.0141098607338227	0.0323914044709903	80	75
ACCN5	-0.0367437884192505	0.746253517177148	0.81646655157285	80	5
ACCSL	0.0768635913115681	0.497979454985393	0.605870873355269	80	3
ACCS	-0.135775619920722	0.229801156306844	0.329270447835336	80	80
ACD	-0.462831643151324	1.54133401042251e-05	9.20236627284915e-05	80	80
ACE2	0.248067126934564	0.0265096914968153	0.0552362901870896	80	80
ACER1	0.387259632135977	0.000387019041567734	0.00148251183588392	80	34
ACER2	0.119751996846004	0.290032628642374	0.396169298387889	80	80
ACER3	0.310625061971712	0.00504233341667548	0.01339804364852	80	80
ACE	0.114623324182664	0.311333309164907	0.419147039782242	80	80
ACHE	-0.0664357460826136	0.55820168905004	0.660328222821442	80	80
ACIN1	-0.132584942056478	0.241038067395513	0.342049159122748	80	80
ACLY	0.430018532119977	6.86378534748125e-05	0.000335454216920004	80	80
ACMSD	0.0667274470311392	0.556471035619799	0.658599599763261	80	72
ACN9	-0.146487666340623	0.194764853621136	0.288263773891471	80	80
ACO1	0.354638021386485	0.00124812152080212	0.00403771234293229	80	80
ACO2	-0.0768319159577685	0.498157105766221	0.606011620330981	80	80
ACOT11	-0.474328530259524	8.79841003217717e-06	5.58002924187267e-05	80	80
ACOT12	0.210607974250475	0.0607680688956873	0.111059863533054	80	22
ACOT13	0.039054723096906	0.73088418234717	0.803747082222927	80	80
ACOT1	0.205917412253455	0.0668790208624358	0.120394548462806	80	80
ACOT2	0.207732864294553	0.0644574558203957	0.116668830130587	80	80
ACOT4	-0.273435857905132	0.0141214934078517	0.0324066982945173	80	80
ACOT6	0.187220002110124	0.0963262637292991	0.162866994491819	80	66
ACOT7	-0.301389214268144	0.00659240818687879	0.0168484139196606	80	80
ACOT8	-0.574274183528126	2.55366508724785e-08	3.53983950683775e-07	80	80
ACOT9	-0.112254309476882	0.321505525183684	0.429735978067906	80	80
ACOX1	-0.129233452637681	0.253243907197294	0.35552667103588	80	80
ACOX2	0.42952218557872	7.01251513048724e-05	0.000341443324464028	80	80
ACOX3	0.158221022484121	0.160991113269795	0.247044185190955	80	80
ACOXL	0.0592538787494277	0.601600174966878	0.697408407486361	80	75
ACP1	-0.278743201886502	0.0122883566372866	0.0287360075883177	80	80
ACP2	-0.079748806492923	0.481937378490231	0.589801851200752	80	80
ACP5	0.176939589392157	0.116390873712217	0.190119350170139	80	80
ACP6	-0.488891874643109	4.19842881332267e-06	2.93905043521039e-05	80	80
ACPL2	0.223132905379458	0.0466448718950443	0.0887736741651427	80	80
ACPP	0.27180151901901	0.014731667398854	0.0336020693952815	80	80
ACPT	-0.115058180360091	0.309488962956571	0.417324689863328	80	14
ACRBP	0.463366428013195	1.50232502456797e-05	8.99142446619489e-05	80	80
ACRC	-0.0969355170109878	0.392335863511405	0.502501287042078	80	80
ACRV1	-0.299944144043043	0.0068696210705607	0.0174497296778048	80	60
ACR	0.318116372656653	0.00403206420056569	0.0110716192192706	80	75
ACSBG1	0.355733043399231	0.00120235892160128	0.00391101582364866	80	80
ACSBG2	0.00892241668315873	0.93739051062116	0.957160682650181	80	51
ACSF2	-0.0983995413226066	0.385191489442002	0.495427128427443	80	80
ACSF3	-0.242117945589989	0.0304804088374632	0.0622173154301757	80	80
ACSL1	0.409784485170402	0.00016018146070137	0.000694830159649165	80	80
ACSL3	-0.065754003312848	0.562256427840502	0.663920156491933	80	80
ACSL4	0.446868714689507	3.24917986851969e-05	0.000174712652216476	80	80
ACSL5	-0.186960310366847	0.0967972898733773	0.163473306077112	80	80
ACSL6	0.525999325606496	5.42381743669262e-07	5.02056058893852e-06	80	79
ACSM1	-0.17727103937303	0.115697323972119	0.189255160957654	80	80
ACSM2A	0.229465334778647	0.0406084295513032	0.0791490058389575	80	48
ACSM2B	0.0836119308760494	0.460897135510712	0.570369318155902	80	38
ACSM3	0.0506690957759813	0.655342713908631	0.74276224959952	80	80
ACSM4	0.0039203093667367	0.972468413830693	0.981450449231915	80	6
ACSM5	0.810813239787832	7.91782979843673e-20	4.07539034283221e-17	80	79
ACSS1	0.199709114274706	0.0757200440080647	0.13341215572955	80	80
ACSS2	-0.190722209179703	0.0901481266427027	0.154086097090328	80	80
ACSS3	0.763416669722623	1.82456107111895e-16	2.89754684459374e-14	80	80
ACTA1	-0.00685027455108631	0.951911046881643	0.966581936097473	80	79
ACTA2	0.476867023789737	7.7526227493127e-06	5.01564863129433e-05	80	80
ACTBL2	-0.0504667896140979	0.65663200167795	0.743663307517026	80	77
ACTB	-0.296513317770334	0.00756927478369162	0.0189464353076816	80	80
ACTC1	0.43744564783721	4.96033669508223e-05	0.000253303543084961	80	79
ACTG1	-0.37885556267495	0.000529463051843236	0.00193312821187266	80	80
ACTG2	0.167136915458141	0.138384118069975	0.218595942927688	80	80
ACTL6A	-0.453051903259232	2.44475591720594e-05	0.000136854553476334	80	80
ACTL6B	0.271242206929317	0.0149456534049321	0.033975131909236	80	66
ACTL7A	0.159957900823054	0.15638531042064	0.24135881689555	80	6
ACTL7B	-0.10278028966118	0.364283996843369	0.473786583362734	80	23
ACTL8	-0.0363620674321911	0.748801968597779	0.81824332265541	80	42
ACTL9	0.0613011378613789	0.589077633052638	0.686542667424591	80	6
ACTN1	-0.0394532824303707	0.728243967751172	0.801695489685663	80	80
ACTN2	0.262066020524459	0.0188592935442879	0.0414459463407558	80	80
ACTN3	0.341278310131728	0.00194816622844164	0.00593800580677733	80	73
ACTN4	-0.386052510767562	0.000405046816636243	0.00154070608451736	80	80
ACTR10	0.169556768989999	0.132683430360688	0.211448984208501	80	80
ACTR1A	-0.0160829607643387	0.887399511791665	0.922784148606155	80	80
ACTR1B	-0.333144039566484	0.00253113077115112	0.00743450769679302	80	80
ACTR2	0.263450635548245	0.0182176680388039	0.0402311212081148	80	80
ACTR3B	0.183431217421582	0.103378949464264	0.172468363577282	80	80
ACTR3C	-0.137657437312507	0.223347768345456	0.321706974082685	80	80
ACTR3	0.0159008810417246	0.888666101278296	0.923512049035768	80	80
ACTR5	-0.285223124345251	0.0103333533481883	0.0247501908078882	80	80
ACTR6	0.236882264363869	0.0343784488762711	0.068866046863067	80	80
ACTR8	0.286220541666132	0.0100579129559531	0.0241525745249217	80	80
ACTRT1	-0.191467055944557	0.0888753997623729	0.152323338937281	80	6
ACVR1B	0.0564701668574817	0.618813551699066	0.712256473705763	80	80
ACVR1C	0.529602094007039	4.38817174239665e-07	4.1949291842393e-06	80	80
ACVR1	0.124751076200777	0.270218242021202	0.374597674937465	80	80
ACVR2A	0.413818073440832	0.000135860669634909	0.000602152467117422	80	80
ACVR2B	0.0509066591092843	0.653830019107689	0.741482591527856	80	80
ACVRL1	0.688210846489458	1.74243822435523e-12	7.96269841826262e-11	80	80
ACY1	-0.459028503525488	1.84728283200535e-05	0.000107982680547497	80	80
ACY3	-0.196178781302194	0.0811502133963966	0.14133722384863	80	80
ACYP1	-0.533929473767296	3.39106672491431e-07	3.35827210494172e-06	80	80
ACYP2	0.0452191039057982	0.690416190708359	0.771559489791036	80	80
ADAD2	0.127709084603793	0.25893283242413	0.361940149430112	80	65
ADAL	0.381451692245773	0.000481036537359163	0.00178024477468455	80	80
ADAM10	0.0512886825366868	0.651400392427811	0.739751511089564	80	80
ADAM11	0.0400575305214399	0.724247222434735	0.798374086885024	80	80
ADAM12	0.354310393631575	0.00126211683406724	0.00407759219648517	80	80
ADAM15	-0.283437494886174	0.0108429289170317	0.0257938271330847	80	80
ADAM17	0.210081896682179	0.0614300053696114	0.112081107744797	80	80
ADAM18	-0.0466700132650267	0.68101116858942	0.764062263892644	80	14
ADAM19	0.16967900751721	0.132400265693338	0.211069915779281	80	80
ADAM20	-0.179852121448234	0.110404981943715	0.182198029179643	80	74
ADAM21P1	0.190021914473809	0.0913578040228024	0.155664020287655	80	47
ADAM21	-0.00684182894491371	0.9519702647487	0.966581936097473	80	75
ADAM22	0.664194128300013	1.86197538167819e-11	6.35573760737237e-10	80	80
ADAM23	0.673893627704916	7.34523033162165e-12	2.81975892850624e-10	80	80
ADAM28	0.0465513210562724	0.681778750172523	0.764572591859663	80	80
ADAM29	0.320258031963161	0.00377849582893365	0.0104679319997327	80	53
ADAM2	-0.00992988742328658	0.930337734888281	0.952257422451289	80	5
ADAM30	-0.101295830290627	0.37128942925547	0.481568298859929	80	3
ADAM32	-0.0364615547210285	0.748137509521569	0.817704473245732	80	79
ADAM33	0.610197820747744	1.86862763359744e-09	3.48745113411568e-08	80	80
ADAM5P	-0.285933335948418	0.0101365608221825	0.0243205339942428	80	5
ADAM6	0.398192227338968	0.000254200795554873	0.00103088734787096	80	80
ADAM7	0.0989557746127178	0.382497669175853	0.492934829769422	80	5
ADAM8	-0.360896801904924	0.00100637096500341	0.00335279020960433	80	80
ADAM9	-0.054882221025507	0.628726247007987	0.72090846906022	80	80
ADAMDEC1	0.384092754580843	0.000435959252125161	0.00163821844617023	80	80
ADAMTS10	0.251129846138685	0.0246424702573467	0.051943321022033	80	80
ADAMTS12	0.338410068167413	0.00213825235289462	0.00643515583478471	80	80
ADAMTS13	-0.320966823300585	0.00369776251811241	0.010289449010067	80	80
ADAMTS14	-0.085674031711052	0.44987562850016	0.559313337009575	80	80
ADAMTS15	0.570960915636833	3.19984368268635e-08	4.28458139919128e-07	80	80
ADAMTS16	0.542589968584911	2.00236925395622e-07	2.11941422721896e-06	80	80
ADAMTS17	0.185425662103261	0.0996177989116632	0.167304184175959	80	80
ADAMTS18	0.539456055677165	2.42703695576075e-07	2.51033399353382e-06	80	79
ADAMTS19	-0.0155521743530825	0.891092562810064	0.924854308092441	80	42
ADAMTS1	0.703549210852291	3.39479895411455e-13	1.97029295974856e-11	80	80
ADAMTS20	-0.0135365059302662	0.905137428942563	0.9349772563373	80	22
ADAMTS2	0.497915336822608	2.60903809479549e-06	1.95263675769533e-05	80	80
ADAMTS3	0.760191514730006	2.89235206019183e-16	4.38010461051689e-14	80	80
ADAMTS4	0.446199358723388	3.34968999887581e-05	0.000179350086745174	80	80
